ticket_id,summary,description,root_cause,domain,priority,severity
SAM1-3056,Boot time exceeds 45 second requirement,System boot from power on to home screen takes 58-65 seconds. Requirement is max 45 seconds.,Boot sequence not optimized - sequential service startup should be parallelized,boot_and_system_domain,P1,High
SAM1-3041,Multiple phones connected causes instability,When 2+ phones are connected simultaneously Bluetooth becomes unstable and devices randomly disconnect.,Bluetooth stack not handling multi-point connection state machine correctly,bluetooth_connectivity_domain,P1,High
SAM1-3020,System becomes unresponsive after STR cycle,After suspend-to-RAM (sleep mode) and wake-up system UI is frozen and unresponsive to touch input.,Race condition in power manager - UI thread blocked waiting for deadlocked resource,stability_memory_domain,P1,High
SAM1-3032,Yellow screen of death and continuous reboot,System displays yellow error screen and enters continuous reboot loop. Cannot recover without reflash.,Critical service crash during initialization causing boot loop - likely core manager fault,stability_memory_domain,P0,Critical
SAM1-3116,Memory corruption in IPC message passing,Random crashes with memory corruption during heavy IPC.,Buffer overflow in IPC message serialization.,stability_memory_domain,P0,Critical
SAM1-3057,Black screen during boot for 30 seconds,After power on screen remains black for ~30 seconds before splash screen appears. Appears system is frozen.,Display initialization delayed - waiting for boot animation service that starts too late,boot_and_system_domain,P2,Medium
SAM1-3070,Boot partition mounting fails intermittently,Random boot failures with cannot mount boot partition error. Occurs approximately 1 in 20 boots.,Filesystem check on boot partition occasionally times out - disk I/O performance issue,boot_and_system_domain,P1,High
SAM1-3106,Bluetooth audio metadata not updating,Song title and artist information doesn't update during Bluetooth music playback.,AVRCP metadata event notifications not being processed by media controller,bluetooth_connectivity_domain,P3,Low
SAM1-3082,Subwoofer output not working,Subwoofer produces no output in any audio mode. All other speakers functioning normally.,Subwoofer channel not mapped in audio routing configuration,audio_system_domain,P2,Medium
SAM1-3027,Stack overflow in camera preview,Backup camera preview causes system crash with stack overflow error in logs.,Recursive function in image processing pipeline lacks base case termination,stability_memory_domain,P1,High
SAM1-3096,System won't boot in extreme cold temperature,In temperatures below -20°C system fails to boot. Screen remains black.,Boot storage device (eMMC) not responding at extreme low temperature - timing issue,boot_and_system_domain,P1,High
SAM1-3028,Kernel panic during heavy multitasking,Running navigation media player and phone simultaneously causes kernel panic and reboot.,Kernel memory exhaustion - not enough reserved memory for critical operations,stability_memory_domain,P0,Critical
SAM1-3065,Boot recovery mode not working,Attempting to boot into recovery mode fails. System always boots into normal mode.,Boot mode selection switch not read correctly - GPIO pin configuration error,boot_and_system_domain,P2,Medium
SAM1-3005,Audio delay when switching between apps,Noticeable 2-3 second delay in audio when switching between navigation and media player applications.,Audio focus management slow handoff between applications,audio_system_domain,P1,High
SAM1-3098,Bootloader version mismatch error,Boot fails with bootloader version mismatch error after software update.,Software update didn't update bootloader version compatibility check table,boot_and_system_domain,P0,Critical
SAM1-3101,Audio fade in/out not smooth,Volume fade when receiving navigation prompts is abrupt and jarring not smooth.,Audio fading using stepped volume changes instead of gradual ramping,audio_system_domain,P3,Low
SAM1-3037,Cannot pair new Bluetooth devices,System fails to enter pairing mode when attempting to add new Bluetooth device. Pairing button has no effect.,Bluetooth pairing service not responding - possibly crashed in background,bluetooth_connectivity_domain,P1,High
SAM1-3081,Audio mix causes distortion at maximum volume,When multiple audio sources overlap (navigation + media) distortion occurs at high volume levels.,Audio mixer not applying proper gain scaling for multi-source mixing,audio_system_domain,P2,Medium
SAM1-3094,Bluetooth connection latency very high,Touch play on phone takes 5+ seconds before audio starts on vehicle speakers.,Bluetooth connection interval set too long - should be shorter for lower latency,bluetooth_connectivity_domain,P2,Medium
SAM1-3085,Persistent audio artifacts after loud noise,After loud noise event (door slam horn) audio has clicking artifacts that persist for minutes.,Audio AGC (Automatic Gain Control) not recovering to normal state after saturation,audio_system_domain,P2,Medium
SAM1-3019,Application crash when switching profiles,Switching between user profiles causes application crash and return to home screen.,Use-after-free bug in profile manager - accessing deallocated user preference object,stability_memory_domain,P1,High
SAM1-3011,Audio source switch takes more than 500ms,Switching between any audio sources (USB/BT/FM/AUX) takes 500-800ms exceeding 200ms KPI requirement.,Large audio buffer (2048 samples) needs flush - should be 512 samples,audio_system_domain,P0,Critical
SAM1-3121,Memory not released after app termination,Application memory not reclaimed after force quit until reboot.,Application keeps shared memory segments attached.,stability_memory_domain,P2,Medium
SAM1-3012,Microphone echo during Bluetooth calls,Caller reports hearing their own voice echo during hands-free calls via Bluetooth.,Echo cancellation algorithm not tuned properly for vehicle acoustic environment,audio_system_domain,P2,Medium
SAM1-3127,System hang due to priority inversion,Low priority thread holding lock blocks high priority thread.,Priority inheritance not implemented for mutexes.,stability_memory_domain,P1,High
SAM1-3046,Bluetooth music playback control not working,Play/pause/skip controls on steering wheel don't work for Bluetooth music. Controls work for USB.,AVRCP profile commands not being forwarded to connected phone,bluetooth_connectivity_domain,P2,Medium
SAM1-3071,Emergency mode boot due to fsck failure,System boots into emergency mode reporting filesystem check failed. Requires manual intervention.,Filesystem errors detected during boot fsck - likely caused by previous improper shutdown,boot_and_system_domain,P1,High
SAM1-3079,Boot configuration data corruption,System fails to boot with boot configuration data corrupted error. Requires factory reset.,BCD store not properly maintained - corruption during previous shutdown,boot_and_system_domain,P1,High
SAM1-3048,Bluetooth pairing requires multiple attempts,Device pairing succeeds only after 3-4 attempts. First few attempts always fail with authentication error.,Bluetooth PIN code exchange timing window too short - phones not responding fast enough,bluetooth_connectivity_domain,P2,Medium
SAM1-3001,Audio playback stuttering during USB source,User reports intermittent audio stuttering when playing music from USB drive. Occurs especially during track changes. Audio buffer underrun detected in logs.,Audio buffer management issue - insufficient buffering during track transitions causing underruns,audio_system_domain,P1,High
SAM1-3013,Audio format not supported error for MP3 files,Some MP3 files show format not supported error despite being valid MP3 format.,Audio codec doesn't support variable bit rate MP3 encoding,audio_system_domain,P2,Low
SAM1-3043,Bluetooth auto-reconnect not working,After phone goes out of range and returns system doesn't automatically reconnect. Manual reconnect needed.,Auto-reconnect feature disabled in Bluetooth configuration - profile settings incorrect,bluetooth_connectivity_domain,P2,Medium
SAM1-3052,Cannot answer call via Bluetooth controls,Incoming call notification appears but pressing answer button on steering wheel doesn't answer.,HFP call control event handler not registered - callback function never invoked,bluetooth_connectivity_domain,P2,Medium
SAM1-3025,Home screen crashes when many widgets active,Home screen application crashes when user has more than 8 widgets configured on dashboard.,Insufficient heap allocation for widget container - fixed size array overflow,stability_memory_domain,P2,Medium
SAM1-3068,Splash screen freezes during animation,Boot splash screen animation starts but freezes after 2-3 seconds while boot continues.,Graphics rendering issue in boot animation - frame buffer not refreshing,boot_and_system_domain,P3,Low
SAM1-3114,Memory fragmentation after extended operation,After 48+ hours allocation failures occur despite available memory.,Mixed allocation patterns without compaction causing fragmentation.,stability_memory_domain,P1,High
SAM1-3090,Shared memory leak in IPC communication,Inter-process communication leaving shared memory segments allocated after processes exit.,Shared memory segments not being explicitly destroyed when IPC connection closes,stability_memory_domain,P1,High
SAM1-3016,System freeze when opening media player,Complete system freeze occurs when launching media player application. Screen becomes unresponsive. Requires hard reboot.,Memory corruption in MediaPlayer initialization due to double-free of audio decoder buffer,stability_memory_domain,P0,Critical
SAM1-3078,Dual boot partition sync failure,System has dual boot partitions for redundancy but sync between partitions failing.,Boot partition replication service not running or insufficient storage space,boot_and_system_domain,P2,Medium
SAM1-3023,Out of memory error during boot,System fails to complete boot sequence showing out of memory error. Occurs on cold boot.,Boot services allocating too much heap memory before releasing unused buffers,stability_memory_domain,P0,Critical
SAM1-3045,Cannot remove paired device from list,Attempting to unpair/forget a Bluetooth device fails. Device remains in paired list after deletion.,Bluetooth device database not persisting deletion - write to storage failing,bluetooth_connectivity_domain,P2,Medium
SAM1-3066,Slow boot after software update,First boot after OTA update takes 3+ minutes much slower than normal 45 second boot.,Update post-installation scripts running during boot - should run in background,boot_and_system_domain,P2,Medium
SAM1-3097,Boot filesystem mounted read-only,System boots but root filesystem is mounted read-only. Cannot save any settings.,Filesystem check detected errors and remounted partition read-only as safety measure,boot_and_system_domain,P1,High
SAM1-3031,Heap corruption detected in diagnostics,Diagnostic mode reports heap corruption errors. System behavior becomes unpredictable.,Buffer overflow in telemetry data collection writing beyond allocated memory,stability_memory_domain,P0,Critical
SAM1-3063,Repeated boot loops on cold start,On cold boot (temperature below 0°C) system enters boot loop. Warm starts work fine.,Temperature-dependent hardware initialization failure causing watchdog reset,boot_and_system_domain,P1,High
SAM1-3125,Buffer overflow in log message formatting,System crashes when log messages exceed buffer size.,Fixed size buffer without bounds checking.,stability_memory_domain,P0,Critical
SAM1-3010,FM Radio audio has constant background noise,FM Radio source has noticeable background static/hissing noise even with strong signal strength.,RF noise not properly filtered in tuner amplifier circuit,audio_system_domain,P2,Medium
SAM1-3034,Segmentation fault during software update,Software OTA update process crashes with segmentation fault leaving system in inconsistent state.,Update manager dereferencing null pointer when parsing malformed manifest file,stability_memory_domain,P1,High
SAM1-3067,Boot fails with secure boot violation,System refuses to boot displaying secure boot verification failure error.,Boot image signature invalid - image not signed with correct production key,boot_and_system_domain,P0,Critical
SAM1-3026,System logs filling up storage space,System partition fills up with log files causing system instability and eventual failure.,Log rotation not configured - log files grow unbounded consuming all available space,stability_memory_domain,P1,High
SAM1-3118,System slowdown due to excessive logging,Performance degrades when debug logging enabled. Disk I/O bottleneck.,Synchronous disk writes for every log message.,stability_memory_domain,P2,Medium
SAM1-3029,Watchdog timeout triggering reboot,System watchdog timer expires causing forced reboot. Main thread appears hung.,Main event loop blocked by synchronous network call exceeding watchdog threshold,stability_memory_domain,P1,High
SAM1-3099,Boot services timing out on slow storage,On vehicles with older/slower storage media boot services timeout causing failures.,Boot service timeout values too aggressive for minimum spec storage performance,boot_and_system_domain,P1,High
SAM1-3129,Memory leak in event listener registration,Event listeners registered but never unregistered causing leak.,Missing unregister calls when components destroyed.,stability_memory_domain,P2,Medium
SAM1-3054,Phone shows connected but audio plays on phone,Phone indicates connected via Bluetooth but audio continues playing on phone speaker not vehicle.,Audio output routing not switched to Bluetooth sink after connection established,bluetooth_connectivity_domain,P2,Medium
SAM1-3006,Left speaker not working in surround mode,In surround sound mode the front left speaker produces no output. Works fine in stereo mode.,Audio mixer channel routing error for 5.1 surround configuration,audio_system_domain,P1,High
SAM1-3069,System initialization timeout error,Boot process times out with system initialization timeout error. Logs show service startup delays.,Multiple services taking too long to initialize - cumulative timeout exceeded,boot_and_system_domain,P1,High
SAM1-3074,Boot takes 90+ seconds on first startup,Initial factory boot after programming takes over 90 seconds. Subsequent boots are normal.,First boot performing initial setup tasks - filesystem initialization and key generation,boot_and_system_domain,P3,Low
SAM1-3040,Bluetooth disconnects when starting engine,Bluetooth phone connection drops every time engine is started then reconnects after few seconds.,Engine electrical noise interfering with Bluetooth RF causing temporary connection loss,bluetooth_connectivity_domain,P2,Medium
SAM1-3050,Bluetooth call audio only works in one speaker,During hands-free calls audio only comes from driver side speaker instead of both.,HFP audio routing configured for mono instead of stereo output,bluetooth_connectivity_domain,P2,Medium
SAM1-3036,Bluetooth phone disconnects after 10 minutes,Paired phone disconnects from Bluetooth after approximately 10 minutes of connection. Auto-reconnect fails.,Bluetooth keep-alive timer incorrectly configured causing connection timeout,bluetooth_connectivity_domain,P1,High
SAM1-3017,Gradual system slowdown after 2 hours operation,System becomes progressively slower over time. UI animations lag touch response degrades. Symptoms appear after 2+ hours of use.,Memory leak in graphics rendering pipeline - texture buffers not released after scene changes,stability_memory_domain,P1,High
SAM1-3126,Memory leak in animation framework,UI animations accumulating in memory during heavy interaction.,Animation objects created but never destroyed.,stability_memory_domain,P2,Medium
SAM1-3035,System hang during shutdown sequence,System hangs during shutdown sequence. Screen goes black but system doesn't power off. Requires battery disconnect.,Shutdown service waiting indefinitely on blocked IPC call to unresponsive process,stability_memory_domain,P2,Medium
SAM1-3086,Memory usage spikes during screen transitions,Navigation to settings menu transition causes 200MB memory spike. Memory not released.,Screen transition animation caching entire previous and next screen in memory unnecessarily,stability_memory_domain,P2,Medium
SAM1-3008,Equalizer settings reset to default randomly,Custom equalizer settings are lost and reset to default at random times during normal operation.,EQ settings stored in volatile memory instead of persistent storage,audio_system_domain,P2,Low
SAM1-3044,Bluetooth device name not displaying correctly,Paired device shows as Unknown Device instead of actual phone name in device list.,Device name query (SDP) timing out before response received from phone,bluetooth_connectivity_domain,P3,Low
SAM1-3077,Boot interrupted by power management event,Boot sequence interrupted mid-process by unexpected sleep event causing incomplete initialization.,Power management policy incorrectly triggering sleep during boot phase,boot_and_system_domain,P1,High
SAM1-3105,Graphics memory not released after video playback,After watching videos GPU memory usage remains high and doesn't return to baseline.,Video decoder buffers not freed properly after playback completion,stability_memory_domain,P2,Medium
SAM1-3111,Memory leak in sensor data processing,Sensor data buffers accumulating in memory. Memory usage increases 50MB per hour.,Sensor data processor not freeing buffers after processing complete.,stability_memory_domain,P1,High
SAM1-3009,Bass boost causes audio clipping at high volume,When bass boost is enabled audio clips and distorts at volume levels above 70%.,Audio DSP filter gain too high causing output signal saturation,audio_system_domain,P2,Medium
SAM1-3014,Popping sound when audio starts/stops,Audible pop or click sound from speakers when audio playback starts or stops.,Audio amplifier not properly muted during stream attach/detach transitions,audio_system_domain,P2,Medium
SAM1-3095,Bluetooth SSP pairing always fails,Simple Secure Pairing (SSP) always fails falling back to legacy PIN pairing.,SSP implementation incomplete - numeric comparison callback not implemented,bluetooth_connectivity_domain,P2,Medium
SAM1-3004,Volume level not persisted after reboot,User sets volume to specific level but after system reboot volume resets to default level. Volume persistence not working.,Audio settings not written to NVRAM storage before shutdown,audio_system_domain,P2,Medium
SAM1-3018,Random reboots during navigation,System randomly reboots while using navigation application. No specific pattern identified. Occurs 2-3 times per day.,Kernel panic due to stack overflow in navigation route calculation thread,stability_memory_domain,P0,Critical
SAM1-3039,Phone contacts not syncing via Bluetooth,After Bluetooth connection phone contacts are not downloaded to vehicle system. PBAP sync fails.,PBAP profile initialization failing due to authentication handshake error,bluetooth_connectivity_domain,P2,Medium
SAM1-3073,CAN bus initialization failure during boot,CAN communication fails to initialize during boot. Vehicle functions unavailable.,CAN driver failing to initialize - incorrect baud rate or termination resistance,boot_and_system_domain,P0,Critical
SAM1-3102,Surround sound imaging incorrect,5.1 surround sound positioning inaccurate. Sounds appear from wrong direction.,Speaker positions not calibrated correctly in DSP configuration file,audio_system_domain,P2,Medium
SAM1-3007,Audio cuts out during navigation announcements,Music playback stops during navigation voice guidance but doesn't resume after announcement completes.,Audio ducking implementation doesn't restore previous audio stream state,audio_system_domain,P2,Medium
SAM1-3084,Speed-dependent volume control not working,Automatic volume adjustment based on vehicle speed not functioning. Volume remains constant.,Speed signal from CAN bus not being read by audio volume controller,audio_system_domain,P3,Low
SAM1-3113,System crash during high memory pressure,Under memory pressure system crashes instead of killing low priority apps.,OOM killer policy not configured properly.,stability_memory_domain,P0,Critical
SAM1-3115,Thread leak in event processing system,Event threads created but never destroyed. Thread count grows over time.,Thread pool not reaping completed worker threads.,stability_memory_domain,P1,High
SAM1-3055,Bluetooth pairing fails with iPhone devices,Android phones pair successfully but iPhone pairing always fails with authentication error.,iOS requires specific Bluetooth security level not enabled in vehicle stack configuration,bluetooth_connectivity_domain,P1,High
SAM1-3051,Bluetooth connection lost after software update,After OTA software update Bluetooth fails to connect to previously paired devices. All devices affected.,Bluetooth database corrupted during update - missing migration script for new schema,bluetooth_connectivity_domain,P1,High
SAM1-3120,Stack overflow in recursive UI rendering,Deep UI nesting causes stack overflow. Crash when tree > 50 deep.,Recursive rendering without depth limit check.,stability_memory_domain,P1,High
SAM1-3047,Intermittent Bluetooth connectivity drops,Bluetooth connection randomly drops and reconnects every 30-60 minutes of use.,Bluetooth firmware bug causing periodic reset of radio module,bluetooth_connectivity_domain,P1,High
SAM1-3109,Post-boot initialization scripts not running,Scripts configured to run after boot completion are not executing.,systemd unit dependencies incorrect - scripts not triggered by boot-complete target,boot_and_system_domain,P2,Medium
SAM1-3062,Boot process hangs at specific percentage,Boot progress bar stops at 67% and system hangs indefinitely. No further progress or timeout.,Specific service initialization blocking - likely waiting on network or hardware timeout,boot_and_system_domain,P1,High
SAM1-3128,Excessive memory consumption in cache layer,Cache grows unbounded consuming all memory. No size limit.,Cache size limit not set. LRU eviction missing.,stability_memory_domain,P1,High
SAM1-3080,Init process spawning too many threads,Boot system monitor shows init process spawning excessive threads causing boot slowdown.,Init script configuration error - services being restarted repeatedly due to crash loop,boot_and_system_domain,P1,High
SAM1-3123,Race condition causing data corruption,User preferences corrupted when multiple processes update simultaneously.,Missing synchronization on shared preference file writes.,stability_memory_domain,P1,High
SAM1-3092,Bluetooth hands-free and media not working simultaneously,Either HFP or A2DP works but not both at same time. Switching between them fails.,Bluetooth profile switching logic incorrect - profiles not coexisting properly,bluetooth_connectivity_domain,P1,High
SAM1-3042,Hands-free call audio cutting in and out,During Bluetooth hands-free calls audio cuts in and out making conversation difficult.,HFP audio buffer underrun - microphone sample rate mismatch with Bluetooth frame rate,bluetooth_connectivity_domain,P1,High
SAM1-3059,Boot logo not displaying correctly,Boot splash screen shows corrupted image or wrong logo. Sometimes displays debug text instead.,Boot animation file missing or corrupted - fallback to debug mode enabled,boot_and_system_domain,P3,Low
SAM1-3091,Bluetooth reconnection fails after phone reboot,After phone reboots vehicle doesn't reconnect to it automatically even though paired.,Bluetooth device cache not handling device address rotation after phone restart,bluetooth_connectivity_domain,P2,Medium
SAM1-3049,Phone battery drains faster when connected,Users report faster phone battery drain when connected to vehicle Bluetooth.,Bluetooth polling rate too high - phone being queried every 100ms instead of 1000ms,bluetooth_connectivity_domain,P3,Low
SAM1-3089,System becomes unresponsive when storage full,When storage reaches 100% full system becomes completely unresponsive and crashes.,No free space handling - applications crashing when write operations fail,stability_memory_domain,P1,High
SAM1-3112,Application deadlock when accessing shared resource,Two applications simultaneously accessing causes deadlock. System unresponsive.,Incorrect mutex locking order causing circular wait condition.,stability_memory_domain,P1,High
SAM1-3058,System fails to boot after sudden power loss,If power is cut during operation next boot attempt fails. System stuck at splash screen.,Filesystem corruption due to improper shutdown - boot fails when mounting corrupted partition,boot_and_system_domain,P0,Critical
SAM1-3076,Fastboot mode not accessible,Cannot enter fastboot/download mode using button combination. Only normal boot works.,Bootloader fastboot support disabled in production build configuration,boot_and_system_domain,P3,Low
SAM1-3033,Memory leak in climate control service,Climate control background service memory usage grows 10MB per hour of operation.,Climate sensor polling thread allocating buffers on each read without deallocation,stability_memory_domain,P1,High
SAM1-3124,Memory allocation failure in low memory scenario,Critical allocations fail when memory low causing instability.,No memory reservation for critical operations.,stability_memory_domain,P1,High
SAM1-3060,Kernel panic during boot sequence,System crashes during boot with kernel panic error. Boot process never completes.,Driver initialization failure - faulty kernel module crashing during probe,boot_and_system_domain,P0,Critical
SAM1-3064,USB autoplay during boot delays startup,If USB drive connected during boot system takes 20 seconds longer to reach home screen.,USB device enumeration and media scanning running synchronously in boot path,boot_and_system_domain,P2,Medium
SAM1-3110,Audio voice recognition accuracy poor,Voice commands for audio control often misunderstood or not recognized.,Acoustic echo cancellation not properly removing speaker audio from microphone input,audio_system_domain,P2,Medium
SAM1-3038,Bluetooth audio quality poor and choppy,Music streaming over Bluetooth A2DP has poor quality with frequent interruptions and dropouts.,Bluetooth packet buffer too small causing packet loss under weak signal conditions,bluetooth_connectivity_domain,P2,Medium
SAM1-3030,Resource exhaustion when many apps open,System becomes unstable when user opens more than 15 applications. Apps fail to launch.,Process limit reached - insufficient file descriptor pool for new processes,stability_memory_domain,P1,High
SAM1-3108,Boot partition A/B switching logic broken,Dual boot partition fallback not working. Failed boot doesn't switch to backup partition.,Boot partition selection logic not checking boot success flag before commit,boot_and_system_domain,P1,High
SAM1-3117,Resource leak in audio stream management,Audio stream handles not released after playback stops.,Audio stream cleanup callback not being invoked.,stability_memory_domain,P1,High
SAM1-3002,No sound after switching from FM to BT,After switching audio source from FM Radio to Bluetooth the system shows playing state but no audio output. Requires system reboot to fix.,Audio routing misconfiguration - source switch not properly releasing FM audio path before BT connection,audio_system_domain,P0,Critical
SAM1-3053,Bluetooth range very limited,Bluetooth connection only works when phone is within 1-2 meters of head unit. Normal range should be 10m.,Bluetooth transmit power set too low - antenna gain misconfiguration,bluetooth_connectivity_domain,P2,Medium
SAM1-3022,Crash when opening settings menu repeatedly,Opening and closing settings menu 10+ times in quick succession causes system crash.,Memory fragmentation causing allocation failure when recreating settings view,stability_memory_domain,P2,Medium
SAM1-3003,Crackling noise in speaker during phone calls,Distorted audio and crackling sound in speakers during hands-free phone calls. More noticeable at higher volumes.,Audio DSP filter settings incorrect for HFP profile causing signal distortion,audio_system_domain,P2,Medium
SAM1-3024,Display corruption after long running session,After 5+ hours of operation display shows corrupted graphics artifacts and distorted UI elements.,GPU memory leak in compositor - frame buffers accumulating without cleanup,stability_memory_domain,P1,High
SAM1-3104,System performance degradation over weeks,System becomes slower over weeks of continuous operation even after reboots.,Storage partition fragmentation or accumulated cache data impacting performance,stability_memory_domain,P2,Medium
SAM1-3100,Secondary processor boot synchronization fails,Main SoC boots but secondary processor fails to synchronize causing partial functionality.,Inter-processor communication not established during boot - initialization sequence race condition,boot_and_system_domain,P0,Critical
SAM1-3088,tmpfs filesystem growing unbounded,Temporary filesystem (/tmp) consuming increasing storage eventually filling partition.,Temporary files not being cleaned up - missing cron job for tmp directory maintenance,stability_memory_domain,P1,High
SAM1-3119,Memory leak in graphics texture cache,GPU texture memory grows continuously. After 8 hours GPU memory exhausted.,Texture cache eviction policy not working.,stability_memory_domain,P1,High
SAM1-3075,System datetime resets on every boot,After each boot system date and time reset to factory default 2020-01-01. RTC not working.,Real-time clock battery dead or RTC driver not reading hardware clock at boot,boot_and_system_domain,P2,Medium
SAM1-3087,Zombie processes accumulating over time,Process table shows increasing number of zombie processes over days of operation.,Parent processes not calling wait() to reap terminated child processes,stability_memory_domain,P2,Medium
SAM1-3083,Audio sync issue between video and audio,When playing video files audio is out of sync lagging approximately 200ms behind video.,Audio/video timestamp synchronization not accounting for audio processing latency,audio_system_domain,P2,Medium
SAM1-3122,Kernel memory leak in network stack,Kernel memory increases during network activity. Kernel OOM after extended use.,Socket buffers not freed after connection close.,stability_memory_domain,P0,Critical
SAM1-3130,Crash when memory allocation fails,Application crashes with segfault when malloc returns NULL.,Missing null check after memory allocation.,stability_memory_domain,P1,High
SAM1-3021,Memory usage keeps increasing over time,System memory consumption continuously increases even with no active applications running.,Background services not releasing memory after completing tasks,stability_memory_domain,P1,High
SAM1-3061,Services fail to start after boot,Boot completes but several services fail to start. Home screen loads but features missing.,Service dependency chain broken - required services not starting in correct order,boot_and_system_domain,P1,High
SAM1-3072,Boot process missing audio chime,System boot audio chime doesn't play on startup. All other audio functions work normally after boot.,Audio service initialized after boot complete event - chime trigger missed,boot_and_system_domain,P3,Low
SAM1-3107,Bluetooth device firmware update fails,Attempting to update Bluetooth module firmware fails leaving module inoperable.,Firmware update process not verifying image before flashing causing brick,bluetooth_connectivity_domain,P0,Critical
SAM1-3015,Balance control doesn't work correctly,Adjusting left/right balance control has no effect on audio output distribution.,Balance gain multiplier not applied to audio mixer output channels,audio_system_domain,P2,Low
SAM1-3093,Bluetooth device list shows duplicates,Same phone appears multiple times in paired device list with different addresses.,Bluetooth database not deduplicating devices with multiple MAC addresses (random addressing),bluetooth_connectivity_domain,P3,Low
SAM1-3103,Audio noise gate causing cutoff,Soft audio passages get cut off completely by aggressive noise gate.,Noise gate threshold set too high cutting legitimate quiet audio content,audio_system_domain,P2,Medium
