ticket_id,summary,description,root_cause,domain,component,labels,priority,severity,frequency
SAM1-4084,Boot fails after failed software update,Partial OTA update leaves system unbootable. No rollback occurred.,Update process not atomic. Failed update corrupted boot partition without rollback.,boot_and_system_domain,OTAUpdate,"boot,update,rollback,failure",P0,Critical,Rarely
SAM1-4054,Boot fails with device tree parsing error,Kernel fails to boot with device tree blob parsing error in boot logs.,Device tree binary corrupted or incompatible version. DTB not matching kernel version.,boot_and_system_domain,Bootloader,"boot,kernel,device-tree,compatibility",P0,Critical,Always
SAM1-4071,Audio format detection incorrect for AAC files,AAC audio files misidentified as MP3 causing playback failure.,Media scanner magic number detection incorrect. AAC ADTS header not recognized.,audio_system_domain,MediaScanner,"audio,codec,detection,aac",P2,Medium,Sometimes
SAM1-4046,Cold boot much slower than warm boot,First boot after long power off takes 90 seconds. Warm reboots take normal 45 seconds.,Cold boot performing hardware calibration and training. Results not persisted to speed up next boot.,boot_and_system_domain,HardwareInit,"boot,cold-boot,calibration,performance",P2,Medium,Always
SAM1-4045,Boot fails after battery disconnect,After battery replacement or disconnect system fails to boot showing initialization error.,NVRAM settings lost after power loss. Boot expecting config that doesn't exist.,boot_and_system_domain,NVRAMService,"boot,nvram,power-loss,config",P1,High,Sometimes
SAM1-4040,Bluetooth disconnects during phone software update,When phone receives software update Bluetooth disconnects and won't reconnect until reboot.,Bluetooth stack not handling device disconnection gracefully. Connection state corrupted.,bluetooth_connectivity_domain,BluetoothService,"bluetooth,disconnect,state",P2,Medium,Sometimes
SAM1-4023,Resource leak in camera service,Camera preview causes memory leak. Memory usage increases while camera active.,Camera frame buffers allocated but not released after frame processing complete.,stability_memory_domain,CameraService,"memory,camera,leak,buffer",P1,High,Always
SAM1-4081,HDMI audio output not working,External display connected via HDMI shows video but no audio output.,HDMI audio infoframe not configured. Display not aware of audio availability.,audio_system_domain,HDMIAudio,"audio,hdmi,display,config",P2,Medium,Always
SAM1-4011,System runs out of memory during long trip,On drives longer than 4 hours system becomes sluggish and eventually crashes with OOM.,Navigation history log growing unbounded in memory. Route history not pruned or moved to disk.,stability_memory_domain,NavigationService,"memory,navigation,oom,leak",P1,High,Always
SAM1-4001,FM Radio frequency drift during temperature change,FM Radio gradually drifts off station as cabin temperature increases. Auto-tuning doesn't compensate properly.,RF oscillator temperature coefficient too high causing frequency drift. PLL calibration table missing temperature compensation values.,audio_system_domain,RadioTuner,"audio,fm-radio,temperature",P2,Medium,Sometimes
SAM1-4019,Stack size too small for media processing,Video playback crashes with stack overflow in decoder thread.,Media decoder thread stack size set to 64KB but requires 512KB for 4K video processing.,stability_memory_domain,MediaDecoder,"memory,stack,overflow,video",P1,High,Always
SAM1-4031,Bluetooth LE and Classic interference,When BLE devices connected classic Bluetooth audio has stuttering and dropouts.,BLE and Classic Bluetooth sharing same RF channels without proper coexistence management.,bluetooth_connectivity_domain,BluetoothRadio,"bluetooth,ble,classic,interference",P2,Medium,Always
SAM1-4074,Boot ramdisk image too large,Boot fails with ramdisk too large error on systems with limited memory.,Ramdisk includes unnecessary debug tools and files. Should be minimized for production.,boot_and_system_domain,BootImage,"boot,ramdisk,size,memory",P1,High,Always
SAM1-4034,Bluetooth profile switching causes disconnection,Switching from music to call causes Bluetooth to disconnect completely and reconnect.,Profile switch triggering full Bluetooth stack reset. Should be seamless transition.,bluetooth_connectivity_domain,BluetoothService,"bluetooth,profile,switch,disconnect",P2,Medium,Always
SAM1-4091,Bluetooth audio buffer underruns,Bluetooth audio has periodic stuttering every 30-60 seconds.,Bluetooth audio thread priority too low. Audio processing delayed by other tasks.,bluetooth_connectivity_domain,BluetoothAudio,"bluetooth,audio,underrun,priority",P2,Medium,Frequently
SAM1-4005,Sirius XM channel guide not loading,Satellite radio channel guide shows loading indefinitely. Channels playable but no metadata.,XM metadata service timing out. TCP connection not established due to firewall blocking port 8080.,audio_system_domain,SatelliteRadio,"audio,xm,metadata,network",P2,Medium,Always
SAM1-4077,Bluetooth refuses connection when battery low,When vehicle battery below 11V Bluetooth won't accept connections.,Power management policy disabling Bluetooth during low battery condition.,bluetooth_connectivity_domain,PowerManagement,"bluetooth,battery,power,policy",P2,Medium,Sometimes
SAM1-4078,Boot takes longer with many USB devices connected,Each USB device connected adds 3-5 seconds to boot time.,USB device enumeration happening serially during boot. Should be parallel or async.,boot_and_system_domain,USBSubsystem,"boot,usb,performance,enumeration",P2,Medium,Always
SAM1-4013,Weather widget causing memory corruption,Enabling weather widget on home screen causes random crashes in unrelated applications.,Weather widget writing beyond allocated buffer. Heap corruption affecting other application memory.,stability_memory_domain,WeatherWidget,"memory,corruption,widget,crash",P1,High,Always
SAM1-4032,Bluetooth hands-free volume very low,Caller audio volume during hands-free calls extremely quiet even at maximum setting.,HFP audio path gain set incorrectly. Microphone and speaker gains not calibrated.,bluetooth_connectivity_domain,BluetoothHFP,"bluetooth,hfp,volume,audio",P2,Medium,Always
SAM1-4056,Voice command audio feedback very quiet,System beep and voice responses to voice commands barely audible.,Voice feedback audio stream routed to wrong output. Volume level not configured for feedback channel.,audio_system_domain,VoiceControl,"audio,voice,volume,feedback",P2,Medium,Always
SAM1-4089,Audio spectrum analyzer causing CPU spike,Enabling audio visualizer causes UI lag and high CPU usage.,Spectrum analyzer running FFT on main thread blocking UI updates. Should use worker thread.,audio_system_domain,AudioVisualizer,"audio,cpu,performance,fft",P2,Medium,Always
SAM1-4027,Bluetooth Audio Sink (A2DP) initialization fails,Phone connects but audio won't stream to vehicle. A2DP profile connection fails.,A2DP SBC encoder initialization failing. Codec library missing or incompatible version.,bluetooth_connectivity_domain,BluetoothAudio,"bluetooth,a2dp,codec,fail",P0,Critical,Always
SAM1-4043,Secure element initialization timeout at boot,Boot hangs for 30 seconds waiting for secure element hardware to respond.,SE hardware initialization timeout too long. Should fail faster and retry in background.,boot_and_system_domain,SecureElement,"boot,timeout,hardware,security",P2,Medium,Always
SAM1-4070,Boot kernel panics with MMC read error,Intermittent kernel panic during boot with eMMC read timeout error.,eMMC storage device developing bad blocks. Hardware failure requiring replacement.,boot_and_system_domain,StorageDriver,"boot,emmc,hardware,failure",P0,Critical,Rarely
SAM1-4016,Database cache growing without limit,SQLite database cache consuming 500MB+ memory. Queries become slower over time.,Database cache size not configured with upper limit. Cache grows unbounded in memory.,stability_memory_domain,DatabaseService,"memory,database,cache,performance",P2,Medium,Always
SAM1-4041,Boot splash screen shows artifacts,During boot animation strange visual glitches and artifacts appear on screen.,Frame buffer not cleared before boot animation starts. Contains random memory contents.,boot_and_system_domain,BootAnimator,"boot,display,graphics,artifact",P3,Low,Always
SAM1-4097,ALSA buffer configuration causing latency,Audio playback has 500ms latency between command and sound output.,ALSA buffer size set too large (4096 frames). Should be 256-512 for low latency.,audio_system_domain,ALSADriver,"audio,latency,alsa,buffer",P2,Medium,Always
SAM1-4010,Audio volume inconsistent between sources,FM Radio plays much louder than Bluetooth at same volume level setting. Inconsistent loudness.,Source-specific volume calibration not applied. Audio output gain not normalized across sources.,audio_system_domain,AudioMixer,"audio,volume,calibration",P2,Medium,Always
SAM1-4073,Bluetooth headset button controls not working,Play/pause button on Bluetooth headset has no effect. Only works for phone calls.,AVRCP passthrough commands not mapped to media player controls.,bluetooth_connectivity_domain,BluetoothAVRCP,"bluetooth,avrcp,controls,headset",P2,Medium,Always
SAM1-4012,Kernel module causing memory leak,Kernel memory continuously decreasing even when no applications running. System unstable after 48 hours uptime.,GPU kernel driver allocating DMA buffers without proper cleanup. Memory never returned to system.,stability_memory_domain,KernelDriver,"memory,kernel,leak,gpu",P0,Critical,Always
SAM1-4048,Boot fails with TPM initialization error,Trusted Platform Module init fails causing boot to halt with security error.,TPM firmware version incompatible with platform. Requires TPM firmware update.,boot_and_system_domain,TPM,"boot,security,tpm,firmware",P0,Critical,Always
SAM1-4086,Zoned memory allocation causing fragmentation,DMA zones depleted while normal zones have free memory causing allocation failures.,Zone allocation policy too strict. Should allow fallback to other zones when preferred zone full.,stability_memory_domain,ZoneAllocator,"memory,dma,zones,fragmentation",P1,High,Sometimes
SAM1-4029,Phone book access blocked by permissions,Cannot download contacts from phone via Bluetooth PBAP.,Android PBAP permissions not granted. User not prompted for contact access permission.,bluetooth_connectivity_domain,BluetoothPBAP,"bluetooth,pbap,contacts,permission",P2,Medium,Always
SAM1-4094,OOM killer terminating wrong processes,When low memory occurs OOM killer terminates critical system services instead of apps.,OOM score adjustment not configured. Critical services have default killable priority.,stability_memory_domain,OOMKiller,"memory,oom,priority,policy",P1,High,Sometimes
SAM1-4006,Audio focus not released after navigation prompt,After navigation announcement media doesn't resume playing automatically. Must manually press play.,Navigation audio focus not being abandoned after prompt completion. Focus release callback not invoked.,audio_system_domain,AudioFocusManager,"audio,navigation,focus",P2,Medium,Always
SAM1-4067,Bluetooth inquiry scan response delayed,Other devices take long time to discover this vehicle during Bluetooth scan.,Inquiry scan interval too long. Device not discoverable responsive enough.,bluetooth_connectivity_domain,BluetoothDiscovery,"bluetooth,discovery,scan,timing",P3,Low,Always
SAM1-4066,Bluetooth EDR throughput very low,Bluetooth file transfer speeds only reaching 100KB/s should be 2-3MB/s.,Bluetooth Enhanced Data Rate not enabled. Falling back to basic rate limiting throughput.,bluetooth_connectivity_domain,BluetoothEDR,"bluetooth,throughput,edr,performance",P3,Low,Always
SAM1-4036,Bluetooth message access profile not working,Cannot read SMS messages via Bluetooth MAP.,MAP profile not implemented. Only PBAP and HFP profiles available in build.,bluetooth_connectivity_domain,BluetoothMAP,"bluetooth,map,sms,missing",P3,Low,Always
SAM1-4017,Message queue overflow causing crashes,IPC message queue fills up causing message loss and application crashes.,Message queue depth too shallow for burst traffic. Messages dropped when queue full.,stability_memory_domain,IPCService,"memory,ipc,queue,overflow",P1,High,Sometimes
SAM1-4050,Boot interrupted by watchdog reset,System watchdog resets system during boot before initialization complete.,Boot process exceeds watchdog timeout. Watchdog should be refreshed during long init steps.,boot_and_system_domain,WatchdogService,"boot,watchdog,timeout,reset",P1,High,Sometimes
SAM1-4035,Bluetooth device priority not working,Multiple paired phones all auto-connect causing conflicts. Priority order not respected.,Device priority list not consulted during connection. First responding device connects.,bluetooth_connectivity_domain,BluetoothService,"bluetooth,priority,multi-device",P2,Medium,Always
SAM1-4008,Audio keeps playing during reverse camera activation,When shifting to reverse audio continues playing should mute for parking sensor tones.,Reverse gear signal from CAN not triggering audio mute. Event handler not registered for gear position changes.,audio_system_domain,AudioPolicy,"audio,camera,reverse,safety",P1,High,Always
SAM1-4096,Early boot console switching fails,Boot messages disappear when switching from serial to framebuffer console.,Console switch losing early boot messages. Buffer not flushed before switch.,boot_and_system_domain,ConsoleDriver,"boot,console,display,logging",P3,Low,Always
SAM1-4028,Bluetooth keeps scanning continuously,Bluetooth scan never stops draining phone battery. Scan indicator always visible.,Bluetooth scan not stopped after device found. Scan stop command not being issued.,bluetooth_connectivity_domain,BluetoothService,"bluetooth,scan,battery,power",P2,Medium,Always
SAM1-4020,Multiple browser tabs causing OOM,Opening more than 5 browser tabs causes out of memory crash.,Web browser not limiting per-tab memory allocation. No memory pressure response.,stability_memory_domain,WebBrowser,"memory,browser,oom,tabs",P2,Medium,Always
SAM1-4082,Process memory limits not enforced,Applications able to allocate unlimited memory causing OOM killer to activate.,cgroup memory limits not configured. No per-process memory accounting.,stability_memory_domain,CGroupController,"memory,limits,cgroup,oom",P1,High,Always
SAM1-4026,Bluetooth pairing PIN code not displaying,When pairing new device PIN code popup doesn't appear. Pairing fails with timeout.,Bluetooth pairing dialog not shown due to UI thread deadlock in display manager.,bluetooth_connectivity_domain,BluetoothPairing,"bluetooth,pairing,ui,deadlock",P1,High,Always
SAM1-4063,File descriptor leak in telemetry service,Telemetry service accumulating open file descriptors eventually hitting process limit.,Telemetry log files opened for each metric but never closed. FD table exhaustion.,stability_memory_domain,TelemetryService,"fd-leak,files,resource",P1,High,Always
SAM1-4014,System freeze during garbage collection,UI freezes for 5-10 seconds periodically. Logs show garbage collector running during freeze.,Java heap size too large causing long GC pauses. Heap should be tuned smaller for better responsiveness.,stability_memory_domain,RuntimeEnvironment,"memory,gc,freeze,performance",P1,High,Frequently
SAM1-4025,Thread pool threads not terminating,Background worker thread count continuously increases. Thread creation eventually fails.,Thread pool not reaping idle threads. Completed tasks leave zombie threads in pool.,stability_memory_domain,ThreadPool,"memory,threads,leak",P1,High,Always
SAM1-4004,Audio routing switches randomly between speakers,Audio output randomly jumps between front and rear speakers without user input.,Audio mixer routing state machine corruption. Race condition in route update logic.,audio_system_domain,AudioMixer,"audio,routing,random",P1,High,Rarely
SAM1-4018,Graphics compositor memory leak,Display memory usage increases 5MB per hour. After 20 hours system becomes unstable.,Wayland compositor surface buffers not destroyed when windows close. GPU memory leak.,stability_memory_domain,DisplayCompositor,"memory,graphics,compositor,leak",P1,High,Always
SAM1-4039,Bluetooth secure connections pairing always fails,Pairing with devices requiring Secure Connections (BT 4.2+) fails.,Bluetooth stack Secure Connections mode disabled. Only legacy pairing supported.,bluetooth_connectivity_domain,BluetoothPairing,"bluetooth,secure-connections,pairing",P1,High,Always
SAM1-4009,Bluetooth aptX codec not working,High quality aptX Bluetooth audio codec available but always falls back to SBC.,aptX library not linked in build configuration. Codec negotiation failing to SBC fallback.,audio_system_domain,BluetoothAudio,"audio,bluetooth,codec,aptx",P3,Low,Always
SAM1-4079,Audio ducking too aggressive during alerts,Alert sounds completely mute music instead of reducing volume.,Audio ducking configured for 100% attenuation instead of 20-30% reduction.,audio_system_domain,AudioDucking,"audio,ducking,volume,alerts",P3,Low,Always
SAM1-4007,USB audio file tags showing corrupted text,ID3 tags for USB audio files display garbled characters for artist and album names.,Character encoding not detected correctly. UTF-8 tags interpreted as ASCII causing mojibake.,audio_system_domain,MediaScanner,"audio,usb,encoding,metadata",P3,Low,Sometimes
SAM1-4065,Journald logs filling root partition,System logs consuming 10GB+ causing root partition to fill completely.,systemd journal size not limited. Logs growing unbounded without rotation.,stability_memory_domain,SystemdJournal,"logging,storage,journald,full",P1,High,Always
SAM1-4037,Bluetooth audio video sync when casting,Video cast from phone to display out of sync with Bluetooth audio by 500ms.,No A/V sync mechanism between different protocols. Bluetooth audio not delayed to match video.,bluetooth_connectivity_domain,BluetoothAudio,"bluetooth,av-sync,video,audio",P2,Medium,Always
SAM1-4090,Kernel memory leak in netfilter,Network firewall rules causing kernel memory leak over time.,Connection tracking table entries not being garbage collected properly.,stability_memory_domain,NetworkFirewall,"memory,kernel,leak,netfilter",P1,High,Always
SAM1-4057,Audio clicks when adjusting volume,Every volume adjustment produces clicking sound through speakers.,Volume change applied instantaneously causing audio discontinuity. Should use smooth ramping.,audio_system_domain,VolumeControl,"audio,volume,click,pop",P2,Medium,Always
SAM1-4100,Init ramdisk running out of space,Early boot fails with ramdisk full error during initialization.,Ramdisk size too small for initialization scripts and temporary files.,boot_and_system_domain,InitRamdisk,"boot,ramdisk,space,size",P1,High,Rarely
SAM1-4055,Boot console output missing on serial port,Serial console shows no boot messages. Screen blank until boot complete.,Serial port not initialized early enough in boot. Console output buffered but not displayed.,boot_and_system_domain,SerialDriver,"boot,console,serial,debug",P3,Low,Always
SAM1-4044,Boot partition verification very slow,Verified boot process takes 15 seconds to verify boot image signature.,Hash verification using SHA-256 on full 200MB image. Should use chunked hash tree.,boot_and_system_domain,SecureBoot,"boot,security,performance,crypto",P2,Medium,Always
SAM1-4051,System property initialization race at boot,Random boot failures with uninitialized property access errors.,Service starting before property service fully initialized. Boot dependency chain incorrect.,boot_and_system_domain,PropertyService,"boot,race-condition,init,properties",P1,High,Rarely
SAM1-4068,Bluetooth power consumption high in standby,Vehicle battery drains faster with Bluetooth enabled even when no devices connected.,Bluetooth not entering low power sniff mode during idle periods. Radio always active.,bluetooth_connectivity_domain,BluetoothPower,"bluetooth,power,battery,standby",P2,Medium,Always
SAM1-4047,Boot process creates excessive log messages,Boot logs consuming 50MB of storage per boot. Log partition fills quickly.,Debug logging level enabled in production build. Verbose logging should be disabled.,boot_and_system_domain,LoggingService,"boot,logging,storage,debug",P2,Medium,Always
SAM1-4069,Bluetooth role switch failing,Cannot switch from master to slave role causing connection issues with certain devices.,Bluetooth role switch feature disabled in controller configuration.,bluetooth_connectivity_domain,BluetoothController,"bluetooth,role-switch,compatibility",P2,Medium,Sometimes
SAM1-4062,Virtual memory system thrashing,System extremely slow with constant disk activity. Memory subsystem thrashing.,Active application working set exceeds physical RAM. Excessive paging to swap space.,stability_memory_domain,VirtualMemory,"memory,swap,thrashing,performance",P1,High,Sometimes
SAM1-4098,Slab memory not being reclaimed,Kernel slab allocator caches consuming increasing memory not released under pressure.,Slab shrinking disabled or ineffective. Kernel caches not responding to memory pressure.,stability_memory_domain,SlabAllocator,"memory,kernel,slab,reclaim",P2,Medium,Always
SAM1-4080,Memory allocator causing heap corruption,Random crashes with heap corruption detected error in various applications.,Custom memory allocator has buffer overflow bug in allocation metadata management.,stability_memory_domain,MemoryAllocator,"memory,corruption,heap,allocator",P0,Critical,Rarely
SAM1-4042,Boot time regression after software update,After OTA update boot time increased from 45 seconds to 78 seconds.,New version added synchronous initialization of cloud services in boot path. Should be async.,boot_and_system_domain,CloudServices,"boot,performance,regression,network",P1,High,Always
SAM1-4059,Audio sample rate conversion causing artifacts,When playing 48kHz audio digital artifacts and aliasing audible.,Sample rate converter using low quality linear interpolation. Should use higher order filter.,audio_system_domain,SampleRateConverter,"audio,src,quality,dsp",P2,Medium,Always
SAM1-4049,Dual display initialization fails during boot,Secondary display remains black after boot while primary display works fine.,Secondary display controller initialization not included in boot sequence. Display stays disabled.,boot_and_system_domain,DisplayDriver,"boot,display,multi-display,init",P1,High,Always
SAM1-4099,Bluetooth LE advertising data truncated,BLE advertisement payload missing data. Only first 10 bytes transmitted.,BLE advertising data length field incorrect. Payload truncated due to size miscalculation.,bluetooth_connectivity_domain,BluetoothLE,"bluetooth,ble,advertising,data",P2,Medium,Always
SAM1-4058,Surround sound only works in parking mode,5.1 audio mode disabled when vehicle speed above 0. Only stereo available while driving.,Safety feature incorrectly disabling surround based on speed. Configuration error in audio policy.,audio_system_domain,AudioPolicy,"audio,surround,speed,safety",P3,Low,Always
SAM1-4076,System panics when removing USB device during access,Unplugging USB drive while accessing files causes kernel panic and crash.,USB mass storage driver not handling device removal gracefully. Memory access fault.,stability_memory_domain,USBDriver,"crash,usb,kernel-panic,driver",P1,High,Sometimes
SAM1-4033,Bluetooth connection lost when WiFi enabled,Enabling WiFi causes Bluetooth connection to drop. Both can't work simultaneously.,WiFi and Bluetooth sharing same antenna. Antenna switch control not arbitrating properly.,bluetooth_connectivity_domain,RFSubsystem,"bluetooth,wifi,antenna,coexistence",P1,High,Always
SAM1-4095,Bluetooth legacy pairing PIN fixed,Can pair with any device using fixed PIN 0000 security vulnerability.,Bluetooth PIN should be randomized but hardcoded to default value.,bluetooth_connectivity_domain,BluetoothSecurity,"bluetooth,security,pin,vulnerability",P0,Critical,Always
SAM1-4060,Text-to-speech audio distorted,Navigation voice guidance and TTS announcements sound robotic and distorted.,TTS engine output sample rate mismatch with audio mixer input. Resampling quality poor.,audio_system_domain,TextToSpeech,"audio,tts,quality,voice",P2,Medium,Always
SAM1-4064,System running out of PIDs,Cannot fork new processes - process ID space exhausted.,PID namespace not configured. Default PID range insufficient for long running system.,stability_memory_domain,ProcessManager,"pid,process,resource,limit",P1,High,Rarely
SAM1-4085,Audio crossfade between tracks not working,Gapless playback works but crossfade feature doesn't overlap tracks.,Audio player not pre-buffering next track for crossfade. Feature implemented but broken.,audio_system_domain,MediaPlayer,"audio,crossfade,playback,gapless",P3,Low,Always
SAM1-4038,Bluetooth connection drops when multiple BLE devices active,With 3+ BLE sensors connected classic Bluetooth phone connection unstable.,Bluetooth controller scheduler favoring LE connections. Classic connection events being skipped.,bluetooth_connectivity_domain,BluetoothController,"bluetooth,ble,classic,scheduling",P2,Medium,Always
SAM1-4030,Bluetooth MAC address changing causing issues,Same phone appears as different device after each pairing. Previous pairing lost.,Phone using Bluetooth privacy feature (MAC randomization). System not handling address rotation.,bluetooth_connectivity_domain,BluetoothService,"bluetooth,privacy,mac,pairing",P2,Medium,Frequently
SAM1-4002,Audio amplifier thermal shutdown,After 30 minutes of high volume playback audio completely stops. Resumes after 10 minute cool-down period.,Amplifier thermal protection triggering prematurely. Inadequate heatsink design causing overtemperature condition.,audio_system_domain,AudioAmplifier,"audio,thermal,hardware",P1,High,Always
SAM1-4053,Boot from SD card slower than eMMC,When booting from SD card boot time is 2x slower than internal eMMC storage.,SD card using default 25MHz clock. Should use high speed 50MHz mode for better performance.,boot_and_system_domain,StorageDriver,"boot,sdcard,performance,clock",P3,Low,Always
SAM1-4022,Memory fragmentation causing allocation failures,Long running system starts failing memory allocations despite showing available memory.,Heap severely fragmented from mixed allocation sizes. No compaction or large block availability.,stability_memory_domain,MemoryAllocator,"memory,fragmentation,allocation",P1,High,Sometimes
SAM1-4003,DAB Radio station list not updating,Digital Radio station list becomes stale. New stations in area not discovered during scan.,DAB ensemble scanning stops after first ensemble found. Scan algorithm doesn't iterate through all frequency bands.,audio_system_domain,RadioTuner,"audio,dab,scan",P2,Medium,Always
SAM1-4024,Network buffer pool exhausted,Network operations fail after system runs for several days. Connection attempts rejected.,Network socket buffers allocated from fixed pool. Leaked sockets consuming all buffers.,stability_memory_domain,NetworkStack,"memory,network,buffer,leak",P1,High,Always
SAM1-4088,Boot script timeout too short,Boot scripts timing out before completion on slower hardware variants.,Boot script timeout hardcoded to 30 seconds. Should scale based on system performance.,boot_and_system_domain,InitScripts,"boot,timeout,scripts,timing",P2,Medium,Sometimes
SAM1-4092,Init process respawning failed services,Boot logs show services restarting repeatedly in crash loop.,Service crash detected but no exponential backoff in restart policy. Continuous restart attempts.,boot_and_system_domain,ServiceManager,"boot,service,crash-loop,respawn",P1,High,Sometimes
SAM1-4075,Auxiliary audio input has poor quality,3.5mm AUX input audio quality noticeably worse than other sources.,AUX input using wrong ADC gain settings. Input level too low causing noise.,audio_system_domain,AuxInput,"audio,aux,quality,noise",P2,Medium,Always
SAM1-4087,Bluetooth multipoint switching slow,Switching active connection between two paired phones takes 5+ seconds.,Multipoint implementation using full disconnect/reconnect instead of role switch.,bluetooth_connectivity_domain,BluetoothMultipoint,"bluetooth,multipoint,switching,latency",P2,Medium,Always
SAM1-4083,Bluetooth SSP numeric comparison timeout,Pairing fails because numeric comparison dialog dismissed too quickly.,SSP numeric comparison timeout set to 10 seconds. Should be 30 seconds for user response.,bluetooth_connectivity_domain,BluetoothPairing,"bluetooth,ssp,pairing,timeout",P2,Medium,Sometimes
SAM1-4021,Image cache not clearing old entries,Photo viewer cache grows to fill all available storage over time.,Image cache using LRU eviction but size limit not configured. Cache never cleared.,stability_memory_domain,ImageViewer,"memory,cache,storage,leak",P2,Medium,Always
SAM1-4061,System log daemon consuming excessive CPU,log daemon process using 45% CPU constantly degrading overall system performance.,Log daemon performing synchronous disk writes for every log message. Should use buffering.,stability_memory_domain,LogDaemon,"cpu,performance,logging,io",P1,High,Always
SAM1-4072,Memory leak in notification manager,Notification service memory usage growing 1MB per hour of operation.,Dismissed notifications not removed from internal list. Notification history unbounded.,stability_memory_domain,NotificationManager,"memory,leak,notifications",P2,Medium,Always
SAM1-4015,Shared library memory not released,Applications closed but memory usage doesn't decrease. Shared libraries remaining loaded.,Dynamic libraries loaded with RTLD_NODELETE flag preventing unload. Libraries stay in memory after app exit.,stability_memory_domain,DynamicLinker,"memory,shared-library,leak",P2,Medium,Always
SAM1-4093,Audio normalization causing pumping effect,Automatic volume leveling creates unnatural pumping breathing effect in audio.,AGC attack/release times too fast. Normalization reacting to transients instead of average level.,audio_system_domain,AudioNormalization,"audio,agc,normalization,quality",P3,Low,Always
SAM1-4052,Boot network interface not coming up,Ethernet interface doesn't activate during boot. Network unavailable until manual ifup command.,Network interface initialization script timing out. DHCP client not starting automatically.,boot_and_system_domain,NetworkService,"boot,network,ethernet,dhcp",P2,Medium,Always
